2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:42----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
2017-03-22 19:05:47----('Connection aborted.', error(104, 'Connection reset by peer'))
